date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1996-01-01 00:00:00,,,,,,,,,,
1996-01-02 00:00:00,,,,,,,,,,
1996-01-03 00:00:00,,,,,,,,,,
1996-01-04 00:00:00,,,,,,,,,,
1996-01-05 00:00:00,2.8,2.0,4.0,,,360.0,30.2,,,
1996-01-06 00:00:00,,,,,,,,,,
1996-01-07 00:00:00,3.6,2.0,5.4,,,19.0,15.4,,,
1996-01-08 00:00:00,6.8,4.8,11.0,,,60.0,14.7,,,
1996-01-09 00:00:00,,,,,,,,,,
1996-01-10 00:00:00,8.2,7.0,9.0,,,37.0,17.0,,,
1996-01-11 00:00:00,7.4,5.9,9.1,,,43.0,16.5,,,
1996-01-12 00:00:00,,,,,,,,,,
1996-01-13 00:00:00,7.0,5.0,10.0,,,24.0,18.1,,,
1996-01-14 00:00:00,,,,,,,,,,
1996-01-15 00:00:00,2.2,0.5,4.0,,,358.0,35.5,,,
1996-01-16 00:00:00,,,,,,,,,,
1996-01-17 00:00:00,,,,,,,,,,
1996-01-18 00:00:00,3.1,1.6,4.0,,,6.0,24.2,,,
1996-01-19 00:00:00,,,,,,,,,,
1996-01-20 00:00:00,3.6,2.0,6.0,,,27.0,14.9,,,
1996-01-21 00:00:00,3.5,1.4,5.2,,,31.0,15.7,,,
1996-01-22 00:00:00,0.9,-1.0,2.0,,,1.0,22.9,,,
1996-01-23 00:00:00,-1.0,-2.0,0.0,,,357.0,25.7,,,
1996-01-24 00:00:00,,,,,,,,,,
1996-01-25 00:00:00,5.4,2.0,10.0,,,,8.7,,,
1996-01-26 00:00:00,,,,,,,,,,
1996-01-27 00:00:00,7.3,5.8,9.0,,,5.0,17.8,,,
1996-01-28 00:00:00,5.1,4.0,6.2,,,3.0,20.1,,,
1996-01-29 00:00:00,3.3,2.7,4.0,,,6.0,17.0,,,
1996-01-30 00:00:00,,,,,,,,,,
1996-01-31 00:00:00,2.2,0.8,4.0,,,27.0,33.3,,,
1996-02-01 00:00:00,,,,,,,,,,
1996-02-02 00:00:00,2.3,0.0,6.4,,,57.0,16.2,,,
1996-02-03 00:00:00,3.2,-1.4,7.1,,,,8.0,,,
1996-02-04 00:00:00,7.3,3.0,11.0,,,211.0,16.3,,,
1996-02-05 00:00:00,8.1,7.0,10.0,,,,11.8,,,
1996-02-06 00:00:00,,,,,,,,,,
1996-02-07 00:00:00,,,,,,,,,,
